0	0	0
15	1.198351314	0.6194948156
30	1.211408931	0.3235233504
45	1.195568212	0.1057685252
60	1.149841205	0.2149361205
75	1.253116126	0.6944046298
90	0.9646496067	0.6196986948
105	1.567401881	0.693259765
120	1.404410543	1.094906658
135	1.206418308	1.858176784
150	1.363778264	3.466868141
165	1.497151929	6.00092685
180	1.605676795	8.830638216
195	1.482548094	10.25977016
210	1.325764968	9.898902947
225	1.773194139	10.45316729
240	1.340004102	10.66572079
255	1.743782964	10.50630649
270	1.683810345	10.80216939
285	1.36441954	11.00898546
300	1.468177392	11.42549861
330	1.836924358	11.35920913
360	1.615407861	11.52610704
390	1.771470435	11.63342164
420	1.553109487	11.69613466
450	1.474077177	11.73283514
480	0.9860105418	11.76620945
510	1.225379135	11.82358486
540	1.362061738	11.43964551
570	0.4465223113	11.61710165
600	1.626040787	8.55492002
660	0.03425808365	10.65050993
720	0.7026319648	8.991802693
780	0.180398025	8.264134006
840	0.4808404386	5.575841729
900	0.8128691457	4.913135059
960	0.7028223327	2.626102441
1020	1.582843786	0.07701386511
1080	1.955370491	3.688727389
1140	2.621801358	6.577163441
1200	3.477060784	11.28950446
1260	4.312663823	16.22062996
1320	5.005687947	22.2355516
1380	6.419037187	29.0303207
1440	7.406547012	36.72966204
1500	8.362653939	
1560	9.904419714	
1620	10.57291967	
1680	12.3225021	
1740	14.04986466	
1800	17.4499237	
1860	17.3171289	
1920	19.57841754	
1980	23.17366914	
2040	24.04925254	
2100	26.4769767	
2160	29.05055523	
2220	32.14151257	
2280	35.14972487	
2340	38.67929871	
