39.65249559	0	39.65249559
38.45313953	15	38.21492432
37.29006	30	37.16941795
36.16215976	45	36.12391157
35.06837474	60	35.14374935
34.00767309	75	33.77152223
32.97905413	90	33.1834249
31.98154747	105	32.20326267
31.01421207	120	31.35378874
30.07613534	135	30.63500311
29.16643232	150	30.17759407
28.28424478	165	29.98156162
27.42874049	180	29.85087333
26.59911235	195	29.32812014
25.7945777	210	28.34795791
25.01437755	225	27.62917228
24.25777586	240	26.8450425
23.52405885	255	25.99556857
22.81253434	270	25.27678294
22.12253108	285	24.55799731
21.45339812	300	23.90455582
20.17523717	330	22.46698456
18.97322712	360	21.16010159
17.84283101	390	19.91856277
16.77978218	420	18.7423681
15.78006819	450	17.63151757
14.83991564	480	16.5860112
13.95577596	510	15.60584897
13.12431198	540	14.62568675
12.34238536	570	13.77621282
11.60704475	600	12.60001815
10.2651848	660	11.35847933
9.078453753	720	9.894770402
8.028917564	780	8.692438071
7.100715497	840	7.496640155
6.279820433	900	6.588356492
5.55382689	960	5.699676074
4.911763554	1020	4.915546293
4.343927473	1080	4.18369183
3.84173743	1140	3.58906008
3.397604258	1200	3.014031574
3.004816155	1260	2.517416046
2.657437254	1320	2.066541422
2.350217914	1380	1.667942116
2.078515395	1440	1.315083715
