0	364.05 364.05
30	363.45 290.3
60	361.35 290.3
90	356.55 290.3
120	350.65 290.3
150	345.35 290.3
180	339.85 290.3
210	334.65 290.3
240	329.95 290.3
270	326.85 290.3
300	324.15 290.3
330	321.15 290.3
360	318.05 290.3
390	315.55 290.3
420	312.95 290.3
450	312.55 290.3
480	310.25 290.3
510	308.75 290.3
540	307.55 290.3
570	306.35 290.3
